spot,Flags,Column,Row,Name,ID,RefNumber,c253295110048_ar2_jun1912_A_SL,c253295110048_ar1_jun1912_B_SL,c253295110048_ar4_jun1912_C_SL,c253295110048_ar3_jun1912_A_L,c253295110048_ar6_jun1912_B_L,c253295110048_ar5_jun1912_C_L,c253295110048_ar8_jun1912_A_C,c253295110048_ar7_jun1912_B_C,c253295110054_ar2_jul1112_C_C
1393,0,17,138,222546520_EZ002710.1_355-702,CUST_2_PI426266366,12970,-1,2,0,-6,0,1,1,1,0
1394,0,13,164,222546520_EZ002710.1_355-702,CUST_1_PI426266363,13613,0,8,1,0,1,1,0,0,1
1395,0,24,164,222546520_EZ002710.1_355-702,CUST_1_PI426266366,11809,0,9,1,0,1,2,1,0,0
1396,0,49,81,222546521_EZ002711.1_882-998,CUST_161_PI426227498,7832,1,-2,-1,-13,1,-4,-3,-2,0
1397,0,90,104,222546521_EZ002711.1_882-998,CUST_161_PI426227498,1015,0,-7,0,0,4,0,1,-1,-2
1398,0,10,164,222546521_EZ002711.1_882-998,CUST_161_PI426227498,14105,1,3,1,-1,1,0,1,1,1
1399,0,85,44,222546551_EZ002741.1_1550-1687,CUST_141_PI426246026,1865,1,2,2,1,2,4,-2,1,0
1400,0,48,82,222546551_EZ002741.1_1550-1687,CUST_141_PI426246026,7914,0,2,-1,1,0,1,-1,-1,0
1401,0,43,159,222546551_EZ002741.1_1550-1687,CUST_141_PI426246026,8777,1,5,1,-1,0,-4,-2,-1,2
1402,0,78,62,222546551_EZ002741.1_257-502,CUST_144_PI426246026,3004,11,36,11,10,3,11,3,12,12
1403,0,56,81,222546551_EZ002741.1_257-502,CUST_144_PI426246026,6684,19,25,9,2,2,7,3,10,16
1404,0,43,104,222546551_EZ002741.1_257-502,CUST_144_PI426246026,8723,6,29,6,7,2,9,4,7,22
1405,0,69,105,222546551_EZ002741.1_8-169,CUST_147_PI426246026,4540,2,9,0,3,2,4,0,2,-3
1406,0,26,107,222546551_EZ002741.1_8-169,CUST_147_PI426246026,11591,2,5,-1,1,2,6,2,0,0
1407,0,40,131,222546551_EZ002741.1_8-169,CUST_147_PI426246026,9283,1,4,2,2,2,2,-1,0,0
1408,0,48,48,222546551_EZ002741.1_924-1283,CUST_150_PI426246026,7931,1235,1320,811,882,562,721,355,454,1
1409,0,48,61,222546551_EZ002741.1_924-1283,CUST_148_PI426246026,8006,2309,2737,1437,1668,1015,1417,699,1105,45
1410,0,76,84,222546551_EZ002741.1_924-1283,CUST_150_PI426246026,3321,1019,1135,686,736,473,693,254,422,4
1411,0,4,90,222546551_EZ002741.1_924-1283,CUST_150_PI426246026,15126,989,1105,579,599,350,586,254,345,3
1412,0,85,114,222546551_EZ002741.1_924-1283,CUST_148_PI426246026,1830,1667,1943,1121,1152,819,1083,491,787,34
1413,0,20,159,222546551_EZ002741.1_924-1283,CUST_148_PI426246026,12549,1499,1688,854,929,694,971,401,518,24
1414,0,13,13,222546560_EZ002750.1_663-1100,CUST_151_PI426246026,13770,1,4,2,0,-1,2,2,0,2
1415,0,2,31,222546560_EZ002750.1_663-1100,CUST_151_PI426246026,15565,1,7,-1,-1,0,2,0,1,1
1416,0,69,91,222546560_EZ002750.1_663-1100,CUST_153_PI426246026,4547,1,-3,-1,-1,0,-1,0,2,-1
1417,0,74,93,222546560_EZ002750.1_663-1100,CUST_153_PI426246026,3726,0,2,-8,0,-6,0,2,0,-3
1418,0,75,142,222546560_EZ002750.1_663-1100,CUST_151_PI426246026,3456,-1,2,0,2,-2,2,2,2,-1
1419,0,28,157,222546560_EZ002750.1_663-1100,CUST_153_PI426246026,11238,-3,1,0,1,-1,0,0,0,-1
1420,0,77,3,222546574_EZ002764.1_330-602,CUST_164_PI426227498,3279,5,4,0,0,2,2,-2,-1,-1
1421,0,56,123,222546574_EZ002764.1_330-602,CUST_164_PI426227498,6663,1,1,-1,1,0,2,-1,0,0
1422,0,40,144,222546574_EZ002764.1_330-602,CUST_164_PI426227498,9195,-1,1,0,1,0,0,-1,0,1
1423,0,27,72,222546583_EZ002773.1_334-543,CUST_15_PI426227896,11363,1,2,1,0,0,1,1,-2,1
1424,0,12,122,222546583_EZ002773.1_334-543,CUST_15_PI426227896,13798,0,1,2,-2,-2,0,0,-1,1
1425,0,36,129,222546583_EZ002773.1_334-543,CUST_15_PI426227896,9940,0,1,0,0,2,1,0,1,1
1426,0,48,4,222546583_EZ002773.1_90-197,CUST_18_PI426227896,7953,4,2,1,0,-3,1,-1,0,2
1427,0,89,15,222546583_EZ002773.1_90-197,CUST_18_PI426227896,1305,-5,1,0,1,-3,-1,0,1,-4
1428,0,9,152,222546583_EZ002773.1_90-197,CUST_18_PI426227896,14275,-2,2,0,-1,0,1,0,-12,1
1429,0,28,96,222546630_EZ002820.1_211-471,CUST_18_PI426266274,11187,-1,3,0,-1,-1,1,0,-1,1
1430,0,20,104,222546630_EZ002820.1_211-471,CUST_18_PI426266274,12495,0,1,0,-1,2,2,2,4,0
1431,0,72,161,222546630_EZ002820.1_211-471,CUST_18_PI426266274,4020,-1,0,0,1,-4,2,0,-2,0
1432,0,89,48,222546630_EZ002820.1_211-577,CUST_21_PI426266274,1207,2,0,-3,-1,0,0,0,-2,0
1433,0,46,80,222546630_EZ002820.1_211-577,CUST_21_PI426266274,8243,-2,4,0,2,1,3,0,1,2
1434,0,5,144,222546630_EZ002820.1_211-577,CUST_21_PI426266274,14935,0,5,1,-1,0,2,0,0,-1
1435,0,36,69,222546630_EZ002820.1_443-577,CUST_24_PI426266274,9970,0,4,1,1,0,2,0,-1,0
1436,0,50,83,222546630_EZ002820.1_443-577,CUST_24_PI426266274,7667,-1,1,-2,-1,2,-1,-4,1,0
1437,0,66,101,222546630_EZ002820.1_443-577,CUST_24_PI426266274,5034,-1,-1,1,-5,-3,1,0,-1,-2
1438,0,82,29,222546668_EZ002858.1_160-438,CUST_6_PI426266424,2446,1,3,0,0,0,3,0,1,1
1439,0,41,31,222546668_EZ002858.1_160-438,CUST_6_PI426266424,9169,1,-5,1,1,-1,2,1,0,-2
1440,0,43,73,222546668_EZ002858.1_160-438,CUST_6_PI426266424,8820,4,0,-1,0,1,-1,2,1,2
1441,0,15,86,222546668_EZ002858.1_53-160,CUST_9_PI426266424,13324,3,-1,0,-1,1,0,1,1,1
1442,0,84,97,222546668_EZ002858.1_53-160,CUST_9_PI426266424,2084,1,2,0,1,1,1,-1,0,-1
1443,0,40,163,222546668_EZ002858.1_53-160,CUST_9_PI426266424,9267,-4,5,1,1,-1,0,0,2,1
1444,0,66,10,222546678_EZ002868.1_1067-1231,CUST_24_PI426227893,4998,-7,1,-1,0,-2,0,0,-1,1
1445,0,80,60,222546678_EZ002868.1_1067-1231,CUST_24_PI426227893,2677,-7,2,0,0,-3,0,0,-2,0
1446,0,83,162,222546678_EZ002868.1_1067-1231,CUST_24_PI426227893,2134,0,2,1,-1,1,2,0,0,0
1447,0,41,106,222546678_EZ002868.1_1138-1296,CUST_27_PI426227893,9050,-4,0,0,2,0,1,-1,-1,0
1448,0,27,127,222546678_EZ002868.1_1138-1296,CUST_27_PI426227893,11417,-7,-2,0,1,0,4,-1,0,-1
1449,0,87,156,222546678_EZ002868.1_1138-1296,CUST_27_PI426227893,1481,-1,5,0,0,0,2,1,0,0
1450,0,17,83,222546678_EZ002868.1_624-950,CUST_30_PI426227893,13079,-1,-4,1,1,1,2,-1,0,-2
1451,0,82,86,222546678_EZ002868.1_624-950,CUST_30_PI426227893,2336,2,-1,-1,0,-2,0,-2,1,1
1452,0,25,95,222546678_EZ002868.1_624-950,CUST_30_PI426227893,11761,0,0,-1,1,0,-1,0,0,0
1453,0,32,2,222546707_EZ002897.1_1363-1731,CUST_42_PI426266349,10578,1,-4,1,1,0,2,1,0,0
1454,0,11,63,222546707_EZ002897.1_1363-1731,CUST_42_PI426266349,14073,-2,0,0,-1,-1,-1,0,-2,1
1455,0,38,164,222546707_EZ002897.1_1363-1731,CUST_42_PI426266349,9513,1,7,0,1,1,1,0,0,0
1456,0,70,45,222546707_EZ002897.1_1728-1874,CUST_45_PI426266349,4406,1,-4,1,1,1,1,-1,-1,1
1457,0,56,53,222546707_EZ002897.1_1728-1874,CUST_45_PI426266349,6698,2,0,-1,1,1,1,0,3,-2
1458,0,47,87,222546707_EZ002897.1_1728-1874,CUST_45_PI426266349,8157,-1,0,1,1,-1,2,-1,1,-2
1459,0,93,2,222546707_EZ002897.1_1739-2368,CUST_48_PI426266349,574,-1,-1,0,-3,-1,-2,-2,0,0
1460,0,18,9,222546707_EZ002897.1_1739-2368,CUST_46_PI426266349,12952,1,0,-3,1,-2,2,0,1,2
1461,0,68,55,222546707_EZ002897.1_1739-2368,CUST_48_PI426266349,4729,2,0,0,0,2,0,1,1,0
1462,0,64,85,222546707_EZ002897.1_1739-2368,CUST_46_PI426266349,5370,1,-3,1,0,3,1,0,-1,-1
1463,0,22,107,222546707_EZ002897.1_1739-2368,CUST_48_PI426266349,12247,0,-1,-1,1,1,-1,1,1,-2
1464,0,67,135,222546707_EZ002897.1_1739-2368,CUST_46_PI426266349,4853,1,-2,1,0,0,-4,0,1,1
1465,0,51,60,222546707_EZ002897.1_1929-2054,CUST_51_PI426266349,7433,30,45,9,6,6,16,5,4,1
1466,0,55,75,222546707_EZ002897.1_1929-2054,CUST_51_PI426266349,6851,5,40,4,10,6,17,4,8,-5
1467,0,27,140,222546707_EZ002897.1_1929-2054,CUST_51_PI426266349,11329,17,28,7,3,3,8,2,8,3
1468,0,14,80,222546707_EZ002897.1_2220-2618,CUST_54_PI426266349,13491,0,1,-1,1,1,-1,1,-1,0
1469,0,90,90,222546707_EZ002897.1_2220-2618,CUST_54_PI426266349,1022,-15,1,-1,1,1,1,2,2,2
1470,0,47,126,222546707_EZ002897.1_2220-2618,CUST_54_PI426266349,8056,2,-1,2,-1,-1,1,1,0,-2
1471,0,8,54,222546708_EZ002898.1_363-557,CUST_167_PI426227498,14488,11,22,4,4,3,15,2,9,0
1472,0,23,89,222546708_EZ002898.1_363-557,CUST_167_PI426227498,12092,13,20,5,0,2,6,1,2,2
1473,0,70,164,222546708_EZ002898.1_363-557,CUST_167_PI426227498,4265,13,11,3,1,1,5,1,3,0
1474,0,21,23,222546728_EZ002918.1_696-872,CUST_75_PI426226915,12453,-1,2,-1,0,0,-1,-1,-5,-2
1475,0,18,104,222546728_EZ002918.1_696-872,CUST_75_PI426226915,12823,-1,3,1,1,1,0,0,-1,0
1476,0,38,152,222546728_EZ002918.1_696-872,CUST_75_PI426226915,9519,2,2,0,0,0,2,0,3,1
1477,0,22,19,222546729_EZ002919.1_343-1287,CUST_170_PI426227498,12291,1,3,0,0,-1,3,-1,1,1
1478,0,28,48,222546729_EZ002919.1_343-1287,CUST_170_PI426227498,11211,-3,4,-1,0,0,2,1,-1,0
1479,0,28,68,222546729_EZ002919.1_343-1287,CUST_170_PI426227498,11201,0,1,-1,-3,1,-2,-1,2,-3
1480,0,67,6,222546763_EZ002953.1_43-171,CUST_84_PI426264540,4836,1,2,-1,-1,-1,-14,0,1,0
1481,0,28,60,222546763_EZ002953.1_43-171,CUST_84_PI426264540,11205,2,1,-1,1,0,2,-1,-1,1
1482,0,23,133,222546763_EZ002953.1_43-171,CUST_84_PI426264540,12070,1,2,0,-2,1,-1,0,0,-1
1483,0,28,2,222546763_EZ002953.1_774-1532,CUST_89_PI426264540,11234,2,3,2,0,2,0,-3,-2,0
1484,0,50,8,222546763_EZ002953.1_774-1532,CUST_88_PI426264540,7623,38,14,1,2,3,11,3,60,4
1485,0,76,29,222546763_EZ002953.1_774-1532,CUST_90_PI426264540,3430,3,2,0,-1,-1,-1,1,2,1
1486,0,9,43,222546763_EZ002953.1_774-1532,CUST_90_PI426264540,14411,0,0,3,1,-1,0,-2,-1,0
1487,0,84,56,222546763_EZ002953.1_774-1532,CUST_89_PI426264540,2023,1,0,1,0,2,1,0,0,1
1488,0,70,58,222546763_EZ002953.1_774-1532,CUST_90_PI426264540,4318,0,1,0,1,-1,0,1,1,1
1489,0,34,91,222546763_EZ002953.1_774-1532,CUST_89_PI426264540,10287,1,0,-1,-2,0,1,1,1,-1
1490,0,77,97,222546763_EZ002953.1_774-1532,CUST_88_PI426264540,3232,50,65,33,29,15,49,17,40,25
1491,0,88,125,222546763_EZ002953.1_774-1532,CUST_88_PI426264540,1414,44,45,35,38,15,58,17,37,19
1492,0,30,32,222546763_EZ002953.1_781-1110,CUST_87_PI426264540,10891,1,4,0,0,0,1,0,2,1
1493,0,51,34,222546763_EZ002953.1_781-1110,CUST_87_PI426264540,7446,-1,-3,-1,0,1,-1,-2,-1,0
1494,0,5,43,222546763_EZ002953.1_781-1110,CUST_87_PI426264540,15067,-1,3,1,2,1,0,1,1,-1
1495,0,47,19,222546768_EZ002958.1_356-532,CUST_15_PI426266271,8191,-1,0,-1,1,1,2,1,1,0
1496,0,51,106,222546768_EZ002958.1_356-532,CUST_15_PI426266271,7410,-8,-2,0,-8,1,0,0,-1,-11
1497,0,53,125,222546768_EZ002958.1_356-532,CUST_15_PI426266271,7154,2,3,-2,-1,-1,-1,1,-3,1
1498,0,62,42,222546768_EZ002958.1_79-213,CUST_18_PI426266271,5638,1,-1,1,0,0,0,0,1,0
1499,0,40,49,222546768_EZ002958.1_79-213,CUST_18_PI426266271,9324,0,3,0,-1,0,-1,0,-4,-3
1500,0,40,158,222546768_EZ002958.1_79-213,CUST_18_PI426266271,9188,1,2,1,2,0,0,1,1,0
1501,0,20,7,222546777_EZ002967.1_1328-1435,CUST_173_PI426227498,12625,1,1,2,1,1,-1,0,-2,-1
1502,0,69,46,222546777_EZ002967.1_1328-1435,CUST_173_PI426227498,4488,2,-2,0,-1,1,2,-1,-1,1
1503,0,14,73,222546777_EZ002967.1_1328-1435,CUST_173_PI426227498,13576,2,0,3,-1,-1,1,-1,-1,-1
1504,0,85,33,222546777_EZ002967.1_414-530,CUST_176_PI426227498,1952,2,2,1,-2,0,1,0,-2,3
1505,0,47,117,222546777_EZ002967.1_414-530,CUST_176_PI426227498,8142,1,3,1,2,-3,0,1,1,0
1506,0,13,129,222546777_EZ002967.1_414-530,CUST_176_PI426227498,13712,1,1,0,-1,-1,-1,0,0,0
1507,0,84,14,222546777_EZ002967.1_601-852,CUST_179_PI426227498,2044,3,0,0,2,-1,0,1,1,1
1508,0,7,49,222546777_EZ002967.1_601-852,CUST_179_PI426227498,14736,-2,-1,0,0,-1,-3,1,-1,1
1509,0,73,102,222546777_EZ002967.1_601-852,CUST_179_PI426227498,3804,1,-6,-1,1,1,0,-4,-1,-1
1510,0,95,124,222546777_EZ002967.1_773-910,CUST_182_PI426227498,185,1,1,-2,-2,2,0,0,-1,-2
1511,0,56,141,222546777_EZ002967.1_773-910,CUST_182_PI426227498,6654,0,-2,0,1,0,1,0,2,-1
1512,0,78,164,222546777_EZ002967.1_773-910,CUST_182_PI426227498,2953,2,1,-1,1,1,2,0,1,0
1513,0,60,16,222546786_EZ002976.1_690-818,CUST_12_PI426246032,5979,2,5,0,1,2,2,0,1,2
1514,0,30,35,222546786_EZ002976.1_690-818,CUST_12_PI426246032,10971,0,-2,0,-1,0,2,2,0,2
1515,0,61,56,222546786_EZ002976.1_690-818,CUST_12_PI426246032,5795,0,3,1,2,1,1,0,0,0
1516,0,6,54,222547090_EZ003003.1_19-228,CUST_185_PI426227498,14816,0,1,0,-1,-1,1,1,1,-2
1517,0,88,83,222547090_EZ003003.1_19-228,CUST_185_PI426227498,1435,1,-2,2,1,-1,-3,2,-1,0
1518,0,89,101,222547090_EZ003003.1_19-228,CUST_185_PI426227498,1262,1,-4,0,-1,-1,2,-1,0,0
1519,0,70,22,222547103_EZ003016.1_36-227,CUST_21_PI426266271,4336,1,4,1,3,1,2,1,1,1
1520,0,56,98,222547103_EZ003016.1_36-227,CUST_21_PI426266271,6594,1,-1,-2,-1,0,1,1,3,0
1521,0,35,161,222547103_EZ003016.1_36-227,CUST_21_PI426266271,10088,2,2,0,2,-1,5,3,-1,1
1522,0,34,68,222547135_EZ003048.1_108-239,CUST_188_PI426227498,10217,2,2,-1,0,1,2,1,-1,-1
1523,0,4,86,222547135_EZ003048.1_108-239,CUST_188_PI426227498,15128,-1,-12,0,1,0,3,2,-2,-1
1524,0,49,102,222547135_EZ003048.1_108-239,CUST_188_PI426227498,7740,-1,-8,2,1,-1,0,10,1,0
1525,0,21,37,222547154_EZ003067.1_109-216,CUST_15_PI426227486,12446,0,-1,2,2,-2,2,-2,0,-1
1526,0,67,73,222547154_EZ003067.1_109-216,CUST_15_PI426227486,4884,1,3,2,0,1,1,-2,0,2
1527,0,10,105,222547154_EZ003067.1_109-216,CUST_15_PI426227486,14216,1,2,1,-1,1,3,2,1,0
1528,0,21,40,222547196_EZ003109.1_102-206,CUST_33_PI426246032,12363,2,0,-1,-1,0,2,0,1,1
1529,0,51,62,222547196_EZ003109.1_102-206,CUST_33_PI426246032,7432,0,2,2,2,-2,2,0,-3,2
1530,0,50,103,222547196_EZ003109.1_102-206,CUST_33_PI426246032,7657,2,-6,0,1,-1,0,10,-2,-1
1531,0,52,109,222547196_EZ003109.1_98-220,CUST_30_PI426246032,7326,-1,1,-3,1,0,2,0,-5,1
1532,0,41,131,222547196_EZ003109.1_98-220,CUST_30_PI426246032,9119,0,2,1,0,0,2,-1,1,0
1533,0,52,135,222547196_EZ003109.1_98-220,CUST_30_PI426246032,7313,0,0,-1,0,-2,1,1,0,0
1534,0,31,2,222547206_EZ003119.1_23-241,CUST_14_PI426247733,10742,2,0,-1,-3,1,0,0,1,0
1535,0,88,3,222547206_EZ003119.1_23-241,CUST_15_PI426247733,1475,5,3,1,-1,0,1,0,-1,1
1536,0,66,4,222547206_EZ003119.1_23-241,CUST_15_PI426247733,5001,0,-10,1,-3,0,0,-3,2,-1
1537,0,16,20,222547206_EZ003119.1_23-241,CUST_14_PI426247733,13193,-2,1,0,0,-2,-1,-4,1,1
1538,0,83,30,222547206_EZ003119.1_23-241,CUST_15_PI426247733,2200,-1,-2,1,2,1,2,-1,-2,2
1539,0,52,88,222547206_EZ003119.1_23-241,CUST_13_PI426247733,7255,1,-1,1,-10,-1,3,1,0,1
1540,0,78,90,222547206_EZ003119.1_23-241,CUST_14_PI426247733,2990,3,-2,0,-1,1,1,-1,0,0
1541,0,43,132,222547206_EZ003119.1_23-241,CUST_13_PI426247733,8709,1,1,1,0,1,-3,-1,0,0
1542,0,22,144,222547206_EZ003119.1_23-241,CUST_13_PI426247733,12147,-1,1,0,2,0,-3,0,-2,-1
1543,0,28,15,222547212_EZ003125.1_51-233,CUST_78_PI426226915,11309,-1,-2,2,0,-1,1,0,2,1
1544,0,86,21,222547212_EZ003125.1_51-233,CUST_78_PI426226915,1794,1,-6,0,-2,2,2,0,-3,-2
1545,0,41,98,222547212_EZ003125.1_51-233,CUST_78_PI426226915,9054,1,3,1,0,0,-2,0,2,0
1546,0,90,53,222547236_EZ003149.1_82-252,CUST_191_PI426227498,1122,-1,-2,-1,1,1,0,1,-2,0
1547,0,42,156,222547236_EZ003149.1_82-252,CUST_191_PI426227498,8861,2,5,-1,-1,-1,0,1,0,0
1548,0,22,161,222547236_EZ003149.1_82-252,CUST_191_PI426227498,12220,1,-1,-1,1,-3,2,1,1,0
1549,0,23,4,222547239_EZ003152.1_154-255,CUST_194_PI426227498,12053,2,6,2,2,-2,4,0,1,-10
1550,0,14,16,222547239_EZ003152.1_154-255,CUST_194_PI426227498,13523,0,5,2,1,0,7,2,1,-17
1551,0,94,25,222547239_EZ003152.1_154-255,CUST_3_PI426266311,480,7,14,3,0,3,13,-2,-4,-1
1552,0,66,36,222547239_EZ003152.1_154-255,CUST_3_PI426266311,4985,3,7,0,2,0,5,0,2,1
1553,0,58,132,222547239_EZ003152.1_154-255,CUST_194_PI426227498,6249,4,7,2,0,3,3,0,0,2
1554,0,80,141,222547239_EZ003152.1_154-255,CUST_3_PI426266311,2718,-4,12,1,1,1,6,1,2,1
1555,0,65,12,222547239_EZ003152.1_2-220,CUST_197_PI426227498,5161,1,1,-1,-2,0,1,-3,0,0
1556,0,92,20,222547239_EZ003152.1_2-220,CUST_197_PI426227498,729,-6,-2,0,0,0,1,0,2,1
1557,0,55,42,222547239_EZ003152.1_2-220,CUST_6_PI426266311,6786,2,2,-2,1,0,1,-5,0,1
1558,0,45,137,222547239_EZ003152.1_2-220,CUST_6_PI426266311,8460,2,2,0,1,1,2,-1,1,0
1559,0,93,146,222547239_EZ003152.1_2-220,CUST_6_PI426266311,502,0,3,-1,3,-3,1,1,-2,-1
1560,0,93,157,222547239_EZ003152.1_2-220,CUST_197_PI426227498,578,1,4,2,2,-4,-2,0,2,1
1561,0,84,42,222547239_EZ003152.1_2-255,CUST_200_PI426227498,2030,0,0,1,1,1,1,0,1,1
1562,0,29,57,222547239_EZ003152.1_2-255,CUST_200_PI426227498,11124,1,3,-1,1,1,2,-1,0,0
1563,0,48,59,222547239_EZ003152.1_2-255,CUST_9_PI426266311,8007,0,2,2,-1,-1,1,0,-1,-2
1564,0,9,77,222547239_EZ003152.1_2-255,CUST_9_PI426266311,14394,-1,2,2,0,1,1,1,-1,-2
1565,0,92,158,222547239_EZ003152.1_2-255,CUST_9_PI426266311,660,1,-3,2,1,1,-4,1,0,1
1566,0,73,163,222547239_EZ003152.1_2-255,CUST_200_PI426227498,3855,2,-7,1,0,1,1,3,1,1
1567,0,44,42,222547296_EZ003209.1_11-226,CUST_3_PI426227884,8590,1,6,0,3,0,1,-2,0,-7
1568,0,52,65,222547296_EZ003209.1_11-226,CUST_3_PI426227884,7348,3,3,-1,1,1,2,-1,-1,3
1569,0,51,114,222547296_EZ003209.1_11-226,CUST_3_PI426227884,7406,0,2,1,0,-2,1,0,0,0
1570,0,88,40,222547347_EZ003260.1_51-248,CUST_33_PI426227893,1375,4,2,1,0,2,1,0,-7,-1
1571,0,74,111,222547347_EZ003260.1_51-248,CUST_33_PI426227893,3717,5,-5,2,2,2,2,1,-3,0
1572,0,19,149,222547347_EZ003260.1_51-248,CUST_33_PI426227893,12718,2,10,1,-1,-1,3,2,-2,0
1573,0,70,62,222547396_EZ003309.1_40-168,CUST_12_PI426266311,4316,5,2,1,2,1,-1,-1,0,0
1574,0,41,104,222547396_EZ003309.1_40-168,CUST_12_PI426266311,9051,1,-1,0,-2,-1,0,1,0,0
1575,0,88,114,222547396_EZ003309.1_40-168,CUST_12_PI426266311,1338,2,2,-2,-1,2,0,-1,0,1
1576,0,56,54,222547452_EZ003365.1_19-216,CUST_15_PI426266311,6616,0,0,1,1,0,3,1,1,-1
1577,0,37,57,222547452_EZ003365.1_19-216,CUST_15_PI426266311,9812,4,0,-1,-5,-1,3,-3,2,-10
1578,0,81,140,222547452_EZ003365.1_19-216,CUST_15_PI426266311,2473,-9,1,0,-3,0,2,-11,3,-1
1579,0,44,3,222547477_EZ003390.1_5-235,CUST_57_PI426266349,8691,-1,-1,0,0,-2,1,0,2,0
1580,0,12,57,222547477_EZ003390.1_5-235,CUST_57_PI426266349,13912,0,0,1,0,-1,0,-2,1,1
1581,0,85,153,222547477_EZ003390.1_5-235,CUST_57_PI426266349,1892,0,1,0,0,2,1,-1,0,0
1582,0,3,28,222547478_EZ003391.1_43-228,CUST_12_PI426266424,15321,5,2,1,1,0,1,-2,-1,1
1583,0,79,73,222547478_EZ003391.1_43-228,CUST_12_PI426266424,2916,-4,3,0,-2,0,3,2,-4,3
1584,0,89,137,222547478_EZ003391.1_43-228,CUST_12_PI426266424,1244,3,3,-1,-2,1,5,-1,0,3
1585,0,17,30,222547484_EZ003397.1_97-231,CUST_24_PI426266271,13024,3,5,1,0,0,1,-1,-1,0
1586,0,57,117,222547484_EZ003397.1_97-231,CUST_24_PI426266271,6502,-1,3,-1,0,2,0,0,-1,-1
1587,0,3,131,222547484_EZ003397.1_97-231,CUST_24_PI426266271,15351,-1,2,-1,0,-1,0,-1,0,1
1588,0,71,32,222547488_EZ003401.1_109-240,CUST_9_PI426265159,4167,0,-1,0,1,0,1,2,-4,-3
1589,0,21,56,222547488_EZ003401.1_109-240,CUST_9_PI426265159,12355,0,1,0,0,1,2,0,1,1
1590,0,20,123,222547488_EZ003401.1_109-240,CUST_9_PI426265159,12567,0,1,-2,1,-2,0,-3,-1,0
1591,0,34,28,222547501_EZ003414.1_90-212,CUST_7_PI426266267,10237,1,0,0,-1,2,0,2,0,1
1592,0,89,49,222547501_EZ003414.1_90-212,CUST_7_PI426266267,1288,-6,8,1,2,-3,2,2,-3,-4
1593,0,66,65,222547501_EZ003414.1_90-212,CUST_9_PI426266267,5052,-1,0,1,-6,1,2,-1,2,3
1594,0,3,71,222547501_EZ003414.1_90-212,CUST_8_PI426266267,15381,-6,-1,0,0,-12,1,0,2,-2
1595,0,74,112,222547501_EZ003414.1_90-212,CUST_7_PI426266267,3635,-1,0,-1,0,3,2,2,0,1
1596,0,69,125,222547501_EZ003414.1_90-212,CUST_9_PI426266267,4530,-1,0,-3,0,-1,1,0,0,0
1597,0,51,143,222547501_EZ003414.1_90-212,CUST_8_PI426266267,7473,0,2,0,0,1,0,-1,-1,2
1598,0,53,143,222547501_EZ003414.1_90-212,CUST_8_PI426266267,7145,2,2,0,0,1,3,-1,-1,2
1599,0,56,160,222547501_EZ003414.1_90-212,CUST_9_PI426266267,6563,1,1,1,2,0,1,0,-8,0
1600,0,54,15,222547507_EZ003420.1_40-279,CUST_17_PI426227486,7045,2,-1,0,-1,2,7,-1,0,-1
1601,0,32,33,222547507_EZ003420.1_40-279,CUST_16_PI426227486,10644,-1,0,2,0,0,0,2,1,1
1602,0,14,65,222547507_EZ003420.1_40-279,CUST_16_PI426227486,13580,2,0,0,0,1,2,-1,1,-1
1603,0,55,103,222547507_EZ003420.1_40-279,CUST_17_PI426227486,6837,1,1,1,1,0,0,1,-6,0
1604,0,94,122,222547507_EZ003420.1_40-279,CUST_16_PI426227486,350,1,0,-4,3,1,1,0,2,-2
1605,0,51,135,222547507_EZ003420.1_40-279,CUST_17_PI426227486,7477,2,-1,0,0,0,-1,-1,-1,0
1606,0,20,10,222547573_EZ003486.1_80-211,CUST_15_PI426266424,12542,1,2,1,0,1,1,0,-6,-2
1607,0,20,115,222547573_EZ003486.1_80-211,CUST_15_PI426266424,12571,-1,-7,1,0,-1,0,1,0,1
1608,0,52,131,222547573_EZ003486.1_80-211,CUST_15_PI426266424,7315,1,-1,-5,-3,1,0,1,2,0
1609,0,58,3,222547657_EZ003570.1_86-259,CUST_21_PI426227486,6395,0,0,2,1,-1,-1,1,2,0
1610,0,79,63,222547657_EZ003570.1_86-259,CUST_21_PI426227486,2921,3,2,0,0,-1,0,-2,-1,0
1611,0,64,104,222547657_EZ003570.1_86-259,CUST_21_PI426227486,5279,1,1,1,-1,-18,0,0,2,0
1612,0,9,3,222547658_EZ003571.1_45-221,CUST_24_PI426227486,14431,2,1,0,-1,1,2,-1,-3,-8
1613,0,69,8,222547658_EZ003571.1_45-221,CUST_24_PI426227486,4507,-1,1,1,0,-5,1,1,1,1
1614,0,88,121,222547658_EZ003571.1_45-221,CUST_24_PI426227486,1416,0,2,-1,0,-1,0,1,-1,1
1615,0,4,44,222547673_EZ003586.1_35-268,CUST_27_PI426227486,15149,2,4,1,2,1,-1,0,2,0
1616,0,25,56,222547673_EZ003586.1_35-268,CUST_27_PI426227486,11699,1,-4,0,0,0,0,0,1,1
1617,0,21,157,222547673_EZ003586.1_35-268,CUST_27_PI426227486,12386,-3,-13,2,-10,-1,-15,-7,-10,0
1618,0,69,33,222547712_EZ003625.1_67-246,CUST_27_PI426266271,4576,1,-5,-1,0,1,0,0,-1,0
1619,0,39,112,222547712_EZ003625.1_67-246,CUST_27_PI426266271,9375,-3,4,0,0,1,0,-1,1,1
