spot,Flags,Column,Row,Name,ID,RefNumber,c253295110048_ar2_jun1912_A_SL,c253295110048_ar1_jun1912_B_SL,c253295110048_ar4_jun1912_C_SL,c253295110048_ar3_jun1912_A_L,c253295110048_ar6_jun1912_B_L,c253295110048_ar5_jun1912_C_L,c253295110048_ar8_jun1912_A_C,c253295110048_ar7_jun1912_B_C,c253295110054_ar2_jul1112_C_C
66,0,95,44,222781632,CUST_2_PI426265165,225,1,6,0,1,1,0,1,0,-1
67,0,14,58,222781632,CUST_3_PI426265165,13502,0,3,1,0,0,1,0,1,-3
68,0,77,83,222781632,CUST_1_PI426265165,3239,1,2,0,-7,0,-3,1,-1,0
69,0,30,122,222781632,CUST_3_PI426265165,10846,1,3,1,2,-1,-1,-1,-1,1
70,0,26,123,222781632,CUST_1_PI426265165,11583,-2,1,2,1,-2,2,1,0,-1
71,0,23,136,222781632,CUST_3_PI426265165,11987,1,-5,-1,-2,-8,-2,1,-1,-3
72,0,88,164,222781632,CUST_2_PI426265165,1313,1,1,1,0,0,0,0,1,0
73,0,4,6,222789106,CUST_3_PI426266427,15168,-1,2,-5,-1,1,2,0,0,-1
74,0,93,44,222789106,CUST_2_PI426266427,553,-1,2,1,2,1,1,0,-3,1
75,0,80,46,222789106,CUST_3_PI426266427,2684,-14,2,1,-5,-1,1,1,1,0
76,0,94,59,222789106,CUST_3_PI426266427,463,0,0,0,0,0,3,1,-2,-1
77,0,62,113,222789106,CUST_1_PI426266427,5684,3,-1,2,-1,1,-1,2,-1,0
78,0,77,113,222789106,CUST_1_PI426266427,3224,-2,1,0,-1,1,1,-1,-4,-1
79,0,82,114,222789106,CUST_2_PI426266427,2322,-1,-5,1,1,1,1,-1,1,0
80,0,23,134,222789106,CUST_1_PI426266427,11988,0,3,1,1,-1,-7,0,1,1
81,0,1,157,222789106,CUST_2_PI426266427,15666,0,5,0,1,1,1,0,1,-1
82,0,24,1,222802262,CUST_38_PI426265162,11972,3,6,1,1,0,1,0,-1,1
83,0,5,38,222802262,CUST_38_PI426265162,14988,1,2,-1,-1,0,0,1,0,2
84,0,44,39,222802262,CUST_39_PI426265162,8673,1,2,0,0,-5,3,-3,-1,1
85,0,93,119,222802262,CUST_39_PI426265162,597,2,2,2,0,0,1,0,-3,0
86,0,60,130,222802262,CUST_37_PI426265162,5922,1,3,1,0,2,0,-1,-3,-1
87,0,2,137,222802262,CUST_39_PI426265162,15512,-2,0,1,0,-1,1,-1,-1,1
88,0,8,142,222802262,CUST_37_PI426265162,14444,-1,1,-1,-1,2,1,2,0,1
89,0,63,148,222802262,CUST_38_PI426265162,5421,-2,-3,0,-2,-1,-3,0,2,-2
90,0,66,162,222802262,CUST_37_PI426265162,4922,0,-2,0,2,-1,0,0,0,-3
